Annee;temp;inso;chal;pluie;Qualite;QualiteMoyen
1924;3064;1201;10;361;2;Moyen
1925;3000;1053;11;338;3;Mediocre
1926;3155;1133;19;393;2;Moyen
1927;3085;970;4;467;3;Mediocre
1928;3245;1258;36;294;1;Bon
1929;3267;1386;35;225;1;Bon
1930;3080;966;13;417;3;Mediocre
1931;2974;1189;12;488;3;Mediocre
1932;3038;1103;14;677;3;Mediocre
1933;3318;1310;29;427;2;Moyen
1934;3317;1362;25;326;1;Bon
1935;3182;1171;28;326;3;Mediocre
1936;2998;1102;9;349;3;Mediocre
1937;3221;1424;21;382;1;Bon
1938;3019;1230;16;275;2;Moyen
1939;3022;1285;9;303;2;Moyen
1940;3094;1329;11;339;2;Moyen
1941;3009;1210;15;536;3;Mediocre
1942;3227;1331;21;414;2;Moyen
1943;3308;1366;24;282;1;Bon
1944;3212;1289;17;302;2;Moyen
1945;3316;1444;25;253;1;Bon
1946;3061;1175;12;261;2;Moyen
1947;3478;1317;42;259;1;Bon
1948;3126;1248;11;315;2;Moyen
1949;3458;1508;43;286;1;Bon
1950;3252;1361;26;346;2;Moyen
1951;3052;1186;14;443;3;Mediocre
1952;3270;1399;24;306;1;Bon
1953;3198;1259;20;367;1;Bon
1954;2904;1164;6;311;3;Mediocre
1955;3247;1277;19;375;1;Bon
1956;3083;1195;5;441;3;Mediocre
1957;3043;1208;14;371;3;Mediocre
